每股指标,18-12-31,17-12-31,16-12-31,15-12-31,14-12-31,13-12-31,12-12-31,11-12-31,10-12-31
摊薄净资产收益率(%),9.80,10.81,10.06,9.17,6.06,9.78,10.80,10.02,12.27
基本每股收益(元),0.5300,0.5300,1.3600,1.1600,0.7600,0.8900,0.8700,0.7000,0.7900
每股净资产(元),5.2494,4.9194,13.5185,12.6449,11.6793,8.9795,8.0937,6.9700,6.4600
